username,text,likes,timestamp,tweet_hashtags/0,sentiment
@GaylordLabs,ggaylords spacedust poppers iconic galactic gaylord essentials join queer nft community,1,2023-08-31 17:12:00+00:00,#queer,positive
@GGaylords,spacedust poppers iconic galactic gaylord essentials join queer nft community,2,2023-08-31 17:11:00+00:00,#queer,positive
@myprideradio,join peterdarrant tonight 7pm chatting lovey mrgayeurope mrgaygreatbrit mrgayeurope mrgaygreatbritain pride lgbt lgbtq lgbtqia queer gay,3,2023-08-31 17:03:00+00:00,#mrgayeurope,positive
@amphibifrens,pacalolo prints available postcard a5 a4 a3 sizes postcard 2 3 5 a5 5 a4 750 a3 10 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer 22,1,2023-08-31 17:01:00+00:00,#art,positive
@amphibifrens,pacalolo prints available postcard a5 a4 a3 sizes postcard 2 3 5 a5 5 a4 750 a3 10 3 shipping fee uk dm interested purchasing art artist artwork frog frogs frogart artforsale prints printartist lgbt lgbtq queer 12,1,2023-08-31 17:01:00+00:00,#art,positive
@aashna_uk,darren acknowledges pride always roots protest hopes one day less political mirrorcouknewsuknewsbl blackpride manchesterpride lgbt lgbtq lgbtqia lgbtqiaplus representationmatters queer blackandqueer queerandproud aashnauk,0,2023-08-31 16:48:00+00:00,#blackpride,negative
@GreenmanOhio,lgbtq history 4 b aug 31 1975 sara ramirez actor singer tony award spamalot broadway 2005 greys anatomy 20062021 like 2021present philanthropist lgbtq activist nonbinary queer,3,2023-08-31 16:31:00+00:00,#LGBTQ,neutral
@TalkShoe,buffly47sf7ms pro wrestling mothership featuring queer nerdz podcast music podcast shotgun wrestling radio jobbing josh course pro wrestling mothership podcast prowrestlingpodcast prowrestling wwe aew wrestlingpodcast queer,0,2023-08-31 16:13:00+00:00,#prowrestlingpodcast,neutral
@PhillyUnnamed,trans horror blockers heads philly puff8 australian queer feature directed 17 year old trans neurodivergent woman shot predominantly queer nonbinary trans castcrew come support 930 1030pm ticket link info bio horrorfamily horrorcommunity phillyinquirer nbcphiladelphia phillydailynews thephillyvoice metrophilly phillyweekly,1,2023-08-31 16:07:00+00:00,#Trans,positive
@IvoryBoilerRoom,wants recap queer folk andrewdrimby message us queerasfolk queer ivorytowerboilerroom,4,2023-08-31 16:06:00+00:00,#queerasfolk,positive
@nowtoronto,queer bars pillars community scene historic moments people dont drink explored nonalcoholic 2slgbtq spaces gta latest queer nowtorontocomfeaturedquee,2,2023-08-31 16:02:00+00:00,#Queer,positive
@UAlbertaPress,indie rock poet joe bishop engages trope inherited masculinities time introduces sexualities move beyond heterosexist bitly3sochd3 riddlefence innisfreebooks accstjohns queer newfoundland,3,2023-08-31 16:00:00+00:00,#queer,neutral
@Fanbase_Press,fanbasepress lbcomiccon 2023 panel announcement healthy queer representation comics look like saturday sept 2 11 davidbooher richardfairgray wondermann5 williamotyler moderated fanbase press editorinchief barbrajdillon,11,2023-08-31 16:00:00+00:00,#Queer,positive
@__diegogarcia__,new book today would really appreciate could ask library purchase book explores gender sexuality islam contemporary indonesia voices queer muslims allies routledgecomgendersexuali,27,2023-08-31 15:30:00+00:00,#gender,positive
@Vite_Wind,lets make gay queer trending bc ofmd goodomens wwdits,0,2023-08-31 14:51:00+00:00,#gay,positive
@Soul_Sutras,think different ways stretch barriers sit right mind got goosebumps listening dr varuna srinivasan hope find useful life journeys lgbtqia lgbtq lgbt feministpodcast masalapodcast queer,1,2023-08-31 13:46:00+00:00,#LGBTQIA,positive
@joechianakas,beautiful book 1 new release teen ya lgbt fiction amazon last night biggest inspiration jonhurwitz gave rt jon want inspire queer community way inspire cobrakai fans amazoncomdp1633738434 booktwt,1,2023-08-31 13:44:00+00:00,#LGBT,positive
@micropolystream,thursday know means lets say chat went rails later twitch deadbydaylight fun smallstreamer ps4 ps4live gaming dbd horror survivor stream twitchaffiliate twitchtv playstation queer lgbtq sweden,7,2023-08-31 13:33:00+00:00,#Twitch,positive
@mmandtdn,ness u prettyness edinburgh lochness indie indiepop queer,4,2023-08-31 13:31:00+00:00,#prettyness,neutral
@kellansing12345,shame forget soon part endangered group needs support trust brotherhood cant win house thats divided silence would saved disgrace wfjamesbrown lgbtq rights queer,0,2023-08-31 13:04:00+00:00,#LGBTQ,positive
@IIED,still seeking contributions queer zine submissions credit anonymous please email iied principal researcher anna walnycki annawalnyckiiiedorg submissions,12,2023-08-31 12:28:00+00:00,#queer,neutral
@HockeyWomxn,thepwhlofficial care queer playersfansstaff,0,2023-08-31 12:27:00+00:00,#Queer,neutral
@Just_tshepi,catch single ready mingle lounge queer fetish meet singles ready meet singles getting hitched never easy welcome drinks us courage tickets quicketcozaevents228941 queerfetishtalk queerfetish queer gaysaturday,3,2023-08-31 11:57:00+00:00,#QueerFetishTalk,positive
@AdimPrincess,make make sense transgender trans lgbt lgbtq gay lesbian pride queer bisexual nonbinary transgirl ftm loveislove transisbeautiful mtf transwoman genderfluid pansexual tgirl love gaypride transexual lgbtqia transpride asexual crossdresser transman bi girlslikeus lgbtpride,3,2023-08-31 11:52:00+00:00,#transgender,positive
@harry_waller_,hey queer shakespeare nerds im going chatting brilliant dr willtosh next friday 8th sept 7830pm things gay twelfth night orsino masc 4 masque find next week,4,2023-08-31 11:48:00+00:00,#queer,positive
@DavidAllwood_,god save queers mrgayeurope 2023 national costume designer hosheldonhall mrgaygreatbrit mrgayeurope mrgaygreatbritain godsaveourqueers queer houseofsheldonhall queerfashion runway lgbtpride alnwickgardens gayday,13,2023-08-31 10:28:00+00:00,#mrgayeurope,neutral
@springtidemag,first teaser emerald fennells saltburn dropped yesterday already talk town especially supposed queer representation read saltburn queer emeraldfennell representation teaser movie springtidemagcom20230831,0,2023-08-31 10:05:00+00:00,#Saltburn,positive
@SceneLGBTQ,pioneers pride sussex gay liberation front returns heart lgbtq communities pridebrighton brightonpride queer lgbtq brighton alfinbrighton gscenecomfeaturespioneers,1,2023-08-31 09:25:00+00:00,#BrightonPride,positive
@LetZoeSpoilYou,check art redbubble animemanga inspired art horror art queer art redbubblecompeopleletzoes artistontwitte queerart queer horror horrorart horrorcommunity animeart mangaart anitwt surrealart artist fanart,3,2023-08-31 09:20:00+00:00,#ArtistOnTwitte,neutral
@Lesflicks,less 24 hours go goes live lesflicks brand new title available premium rental first month includes exclusive introduction cast crew watch tomorrow available worldwide comingsoon wlw queer,4,2023-08-31 09:15:00+00:00,#comingsoon,positive
@PrideFitnessSyd,giving away free bootcamp innerwest queer community enter pridefitcomau gaysydney leichhardt petersham gayfitness gayfriends bluemoon sydneygay gayaustralia,0,2023-08-31 09:14:00+00:00,#bootcamp,positive
@wikixyz,todays lgbt related photo wikicommons 20170605 pride dc people places washington dc usa 6060 34960237402 commonswikimediaorgwikif queer lgbtq pride photos share see commonswikimediaorgwikic wikilgbt wikimediacommons photographs,0,2023-08-31 09:07:00+00:00,#LGBT,neutral
@ClareLydon,thrilled first french translation un jour princesse viendra french version upon princess thrilling sapphic royal romance reads way cooler french clarelydoncoukbooksunjo lesfic queer sapphic,27,2023-08-31 09:00:00+00:00,#French,positive
@sogensannin,murdered indigenous woman two spirited people butt way front line seriously ridiculous mmiwg2slgbtqqia become sad joke anyone explained yet queer trans alphanetpeople caindeedcomviewjobjk1c4,0,2023-08-31 08:47:00+00:00,#queer,negative
@XhorxhinaB,summer highlight embracing celebrating queer culture closed first edition prishtina queer festival dylberizm hyjneshat know must prishtina weekend balkaninsight balkaninsightcom20230831,16,2023-08-31 08:24:00+00:00,#Queer,positive
@GuyLambertUK,time fake im appalled drama word queer knocked head good word reclaimed people use deal move forward lgbtq queer,14,2023-08-31 07:57:00+00:00,#LGBTQ,negative
@polaricreative,absolute blast last weeks origins short film night colonycoworks new venue fabrica theme queer cinema since hosting event first day manchester pride wonderful turnout see shortfilm manchester,1,2023-08-31 06:00:00+00:00,#film,positive
@Sergio32811767,environment open learning hard learn stereotype norms queer lgbtqi gayl,6,2023-08-31 04:47:00+00:00,#queer,negative
@Wonababi88,trans boxer deserve one wonababi transgender ftm enby queer transboy autism transwaareness chestbinder nonbinary gendereuphoria transmasculine lgbt autism dysphoria homemtrans queerasfolk genderfluid boxer transgenero,1,2023-08-31 02:47:00+00:00,#wonababi,neutral
@witz_games,crystal tales tactics beautiful fantasy rpg relationship system lot strategy date whoever want journey without gender boundaries get steam storesteampoweredcomapp1 indiedev indiegames lgbtqia gayvisualnovel queer,0,2023-08-31 01:35:00+00:00,#indiedev,positive
@DrakiErik,last sticker post today holographic stickers printed paper printer hates didnt end whole lot butterfly pride prideflag stickers lgbtqia queer,0,2023-08-31 01:32:00+00:00,#butterfly,positive
@DrakiErik,butterflies different flag colors help im running things say pride prideflag butterfly stickers merch lgbtqia queer,0,2023-08-31 01:25:00+00:00,#pride,positive
@DrakiErik,pride stickers ones butterfly form lot work especially since cutting stickers hand still love stickers butterfly pride prideflag queer lgbt,0,2023-08-31 01:17:00+00:00,#stickers,positive
@AnInternetGoose,anyone coquitlam area recommend queer friendly barbershair dressers,0,2023-08-31 00:38:00+00:00,#coquitlam,positive
@2022Ucf,electro sex scene set bye bye love photo right man sweater director isao fujisawa queer 70smovies japan,6,2023-08-30 23:28:00+00:00,#Queer,positive
@becomingluka,one year testosterone trans nonbinary theyhe queer transition hrt testosterone hormones demifluid genderfluid pansexual demisexual lgbtqia,1,2023-08-30 22:26:00+00:00,#trans,neutral
@CallRelish,vote gretson ship year category avatrice scifi fandomsunited aleagueoftheirown savealoto aloto warriornun sapphic wlw uncancelyoursapphics queer lgbt,3,2023-08-30 21:42:00+00:00,#gretson,neutral
@doctorkunkel,sounds queer revanchist,0,2023-08-30 21:39:00+00:00,#queer,neutral
@InterPride,manifesto identifies pressing problems experienced lgbtqia community zimbabwe proposes solutions lgbtq lgbtqia lgbtqiaplus queer humanrights chosenfamily zimbabwe africa african,0,2023-08-30 21:37:00+00:00,#lgbtq,positive
@ZazaGigante,queer american hurts dragqueen problem,1,2023-08-30 21:30:00+00:00,#queer,neutral
@ringtail1969,hernandez brothers energized indie comics love rockets click read cbrcomloveandrocketsher latina latinx queer comics indie alternative comicbooks sapphic independent publishing read literature fantagraphics archie comicbookart repost thanks,2,2023-08-30 20:39:00+00:00,#Latina,positive
@CherylRainfield,hope find many people relate deep level truly see understand mentalhealth queer neurodivergent,1,2023-08-30 20:38:00+00:00,#mentalhealth,positive
@ElvisRaphaeldn,loveislandusa loveisland queer bubagirl viralvideo let mind serious relationship avoid,3,2023-08-30 20:17:00+00:00,#LoveIslandUSA,negative
@WROTEpodcast,last chance chwilliamslit sharing merchant series process wrotelibsyncoms8ep36chw new guest airs friday summerofpride fantasy darkfairytale merchantseries queerjoy podcast wrotepodcast queer lgbtq,3,2023-08-30 20:00:00+00:00,#SummerOfPride,positive
@Garnet69Frost,keep pride protest thank kraftynoon foamclay pirate ship transgender lgbtqiaplus pride rainbow pirateship piratecaptain lgbt lgbtqiavisibility prideisaprotest queer captainratte ratte lgbtpride lgbtqiaplus fleet armada pirateflag piratelife,1,2023-08-30 19:53:00+00:00,#foamclay,neutral
@ThatNerdStella,vonxdecimo podcast podcast genetically engineered cost make others podcasts obsolete complete global saturdation siteslibsyncom475404 catch us every month spotif google play itunes libysn amazon podcast queer,1,2023-08-30 19:25:00+00:00,#podcast,positive
@MsMandyJ,im currently working project reminding sometimes hard fly flag matter much want one illustrations project lgbtqia queer illustration,1,2023-08-30 18:15:00+00:00,#LGBTQIA,positive
@astropocketme,know youre lesbian pisces friends say dont need therapist need bottle wine lgbtqia tomboy gaygirl pride lesgirl lesbiancouple lesbianwoman queer astropocketmeblogpiscesl,1,2023-08-30 17:57:00+00:00,#Lesbian,neutral
@GilbertBakerFF,gilbert baker remarkable human created gave og rainbow flag lgbtq community started gilbert baker film festival educate bring community together gilbertbakerfilmfestival connect communicate dont isolate queer mentalhealthmatters,2,2023-08-30 17:45:00+00:00,#LGBTQ,positive
@EPluribusChris1,attic dweller clay scott brown bitly3pjgd3o small short free book bn sport enters hollywood unannounced fag chanels one wonders characters real elon straight queer sex trish model loses elon sport,0,2023-08-30 17:37:00+00:00,#Fag,positive
@InkAndSmudge,ollie meets augustus knows main objective keep human alive could things starting feel malfunctions software dotexe dropping soon interested follow updates queer scifi romance,1,2023-08-30 17:31:00+00:00,#queer,positive
@v13media,queer drag artist dornika discusses writing recording new ep revolution along music industry berlin electronic v13net202308dornikainte dornika queerartist dragqueen neweprevolution,0,2023-08-30 17:16:00+00:00,#Queer,positive
@GaylordLabs,ggaylords meta verse judgement flippityfloppity join queer nft community,1,2023-08-30 17:13:00+00:00,#queer,neutral
@GGaylords,meta verse judgement flippityfloppity join queer nft community,4,2023-08-30 17:11:00+00:00,#queer,neutral
@BuddhistQueer,iqbcgumroadcomliqbc2023 interested 3rd iqbc queer ally mindful respectful buddhist feel free register queer buddhist international conference identity,3,2023-08-30 17:01:00+00:00,#queer,positive
@BuddhistQueer,iqbcorgschedule2023 program schedule 3rd international queer buddhist conference iqbc online excited first people already registered queer buddhist conference register enjoy equality diversity,1,2023-08-30 16:59:00+00:00,#queer,positive
@QueerGeorgians,join us today 308 burghhouse1704 2nd qgss continues form queer georgian poetry lab beauteous form qg poetry lab creative directorinresidence alexhaydnwilliams music bougiesbaroques soloist richetyrich lgbtq hampstead,5,2023-08-30 16:57:00+00:00,#Queer,positive
@BarcellonaR,reaching love keep building resentment cant love like love look fat thats notice go eat glass foryou queertiktok queer singing singersoftiktok broadway broadway broadwaytiktok waitress,4,2023-08-30 16:42:00+00:00,#foryou,positive
@MarkTaraMusic,rainbowcountry lgbt films part 48th toronto international film festival queer films ive seen worth checking tix available toll iamsirat summerqamp idontknowwhoyouare tiff23 lgbt film lineup buffly3sxb1em,1,2023-08-30 16:30:00+00:00,#RainbowCountry,positive
@londonlitlab,discounted place upcoming course queer storytelling apply sept4 course passive learning experience one rewarded active participation mental emotional creative oct4nov15 6wk 185 londonlitlabcoukcoursequ jkaye82,0,2023-08-30 16:29:00+00:00,#Queer,positive
@IsntItQueer,new podcast 20230830 debunking transphobic myths evidence spreaker anxiety depression evidence flag genderaffirming jama lgbt lgbt lgbtq lgbtq queer queerradio rainbow regret safety science shooting shootings spreakercomuseriiqwdbxii,1,2023-08-30 16:28:00+00:00,#anxiety,positive
@micropolystream,tomorrow see stream dead daylight survivor killer twitch deadbydaylight fun smallstreamer ps4 ps4live gaming dbd horror survivor stream twitchaffiliate twitchtv playstation queer lgbtq music piano influencer pride sweden,7,2023-08-30 16:21:00+00:00,#Twitch,positive
@RickClemons,step light truth coming closet drrogerleslie joins us podcast today shed light authentic lgbtq self buffly3pxhekq gaypodcast lgbtqpodcast pocast lgbtq comingout comingoutstories queer advice,0,2023-08-30 16:05:00+00:00,#gaypodcast,positive
@MarkTaraMusic,rainbowcountry lgbt films part 48th toronto international film festival queer films ive seen worth checking tix available toll iamsirat summerqamp idontknowwhoyouare tiff23 lgbt film lineup marktaracomtiff2023html,4,2023-08-30 15:59:00+00:00,#RainbowCountry,positive
@ESNRadCh,queer activist says education ministers comments could undermine kids safety cbccanewscanadalondonqu,0,2023-08-30 15:55:00+00:00,#Queer,neutral
@oandbinstitute,congrats obi scholar darieckscott winning 2023 lambdaliterary best lgbtq studies keeping unreal black queer fantasy superhero comics comics queer superheroes icymi virtual book talk vidpuffyanuswatchvhurhtgex,3,2023-08-30 15:40:00+00:00,#OBI,positive
@CarlosPons_G,tonight premiere mariadebuenosaires via gloriously camp resurrection leeds northernopera ive interpreted piazzollas libretto sort queer passion play tonight see ive totally lost mucha mierda fab cast team r hughes,11,2023-08-30 15:30:00+00:00,#MariadeBuenosAires,neutral
@shawndearn,important 2slgbtqi human rights battle brewing young people especially young queer kids need comeout termsnot politicians teachers parents stop playing politics lives queer kids perhaps even,2,2023-08-30 15:15:00+00:00,#2SLGBTQI,positive
@FantasiaFest,fantasiafest proud copresent north african queer film festivals closing film mohammed shebls anyab fangs 1981 egyptian remake rocky horror picture show vampires join us september 22 cinemapubliccaenfilmsany,14,2023-08-30 15:00:00+00:00,#FantasiaFest,positive
@LauraSchleifer,also check rebelsatoris fever spores queer reclamation william burroughs features essays david cronenberg tony kushner sam delaney dlkangalee etc persona nongrata brian alessandros look bullfighting form toxicmasculinity,3,2023-08-30 14:57:00+00:00,#Queer,neutral
@Kappaellenet,al via queer summer festival humanities goshrlc3szsrhr,0,2023-08-30 14:52:00+00:00,#QUEER,neutral
@OsumareAyomi,queer people silenced queer voices drowned howtocatchastorythatdoesntexist chronicles painful beautiful lives queer people nigeriausing hushed taboo experiences pleasure share queer stories nigeria,27,2023-08-30 14:41:00+00:00,#HowtoCatchaStoryThatDoesntExist,positive
@Moncha415,ive single long enough dont even care single lol mean want stay kiss ass leave idc lgbtq queer lesbian gay gaymer,1,2023-08-30 13:59:00+00:00,#LGBTQ,positive
@Moncha415,fortnite crowns dont empress know empresses someone degree dream job like bro lgbtq queer lesbian gay gaymer,0,2023-08-30 13:57:00+00:00,#LGBTQ,positive
@enzer_tweets,music spot songoftheday queer steam annemarie shaniatwain unhealthy vidpuffyanusnc3dbg1nesesizc5f,1,2023-08-30 13:39:00+00:00,#SongOfTheDay,negative
@FeminismInIndia,queer friendships continue support needs neurodivergent person talking queer folks found people like experienced deep intimacies within friendships queer read feminisminindiacom202308,1,2023-08-30 13:30:00+00:00,#Queer,positive
@LetZoeSpoilYou,writhing mind queer cosmic horror short story available lulu lulucomshopzoeburgesswr horror queer queerhorror lovecraftian shortstory cosmichorror maddness horrorstory horrorfiction horrorwriter horrorcommunity mutantfam horrorfan shorthorrorstory,1,2023-08-30 13:27:00+00:00,#horror,positive
@MusicSuiteC,publisher pushed back effort present modern picture life one blackest queerest cities south calling divisive half staff quit media woke wokeness publishing queer publishing magazine atlanta,1,2023-08-30 13:25:00+00:00,#media,positive
@MusicSuiteC,crackdown woke coverage tearing atlanta magazine apart washingtonpostcommedia202 media woke wokeness publishing queer publishing magazine atlanta,1,2023-08-30 13:25:00+00:00,#woke,neutral
@Fh284Harrison,first time called fing dyke canada last week 9 years hate crime 64 canada lgbtq2s ally educate dont bystander hate loveislove queer pride egalecanada,21,2023-08-30 13:17:00+00:00,#loveislove,negative
@Guardianangelos,kingstoncouncil aiding abetting created queer group children 1217 yrs bans parents,1,2023-08-30 12:51:00+00:00,#KingstonCouncil,neutral
@ITOmarHernandez,global affairs canada warns lgbtq2 people us travel cbccanewspoliticsglobal lgbtq lgbtqia lgbt queer,0,2023-08-30 12:44:00+00:00,#lgbtq,neutral
@EqualiSource,b common abbreviation butt used mostly gay bisexual queer men sexual context,0,2023-08-30 12:39:00+00:00,#gay,positive
@WROTEpodcast,released s08 ep37s review vancebastian sacollinsauthor share thoughts reviews documentary george michael freedom uncut wrotelibsyncoms8ep37geor wrotepodcast lgbtq queer podcast review moviereview pridemonth documentary georgemichael freedom,5,2023-08-30 12:30:00+00:00,#wrotepodcast,negative
@SusanneKGunther,called queer,0,2023-08-30 11:34:00+00:00,#queer,neutral
@enzer_tweets,music spot songoftheday queer globalplus billieeilish whatwasimadefor vidpuffyanuscw8vlc9nntosizbtk,2,2023-08-30 11:21:00+00:00,#SongOfTheDay,neutral
@42ndStreetmcr,rain couldnt keep us pride protest walk manchesterpride queerjoy dancingintherain singingintherain lgbtq queer community,8,2023-08-30 11:10:00+00:00,#Pride,neutral
@MidlandsLgbt,laois pride kicks next week look events going would love see everyone join us parade community day afterwards laoispride midlandslgbt pride queer laois,10,2023-08-30 10:21:00+00:00,#laoispride,positive
@Lesflicks,part exclusive club one first watch love lex premieres online 2 days time lesbian web series drops lesflicks premium rental september 1st prepurchase tickets watch today lesflickscompagesloveme queer series,4,2023-08-30 10:15:00+00:00,#lesbian,positive
@kellansing12345,bobriskyidris mercy thugs nearly mobbed saved avantgarde queer mafia shows ungrateful selfish humans need progress phase quickly,5,2023-08-30 09:57:00+00:00,#queer,negative
@kellansing12345,youre queer people call friends would eventually use cash live africa people given head hand jobs brute pain frustrations laid,11,2023-08-30 09:53:00+00:00,#queer,positive
@InterPride,homophobic hate speech punishable prison time brazil countrys high court declared near majority decision read bitly45bejf6 interpride pride lgbt lgbtq lgbtqia lgbtqiaplus queer humanrights chosenfamily brazil southamerica,12,2023-08-30 09:37:00+00:00,#interpride,negative
@LetZoeSpoilYou,check art redbubble animemanga inspired art horror art queer art redbubblecompeopleletzoes artistontwitte queerart queer horror horrorart horrorcommunity animeart mangaart anitwt surrealart artist fanart,2,2023-08-30 09:19:00+00:00,#ArtistOnTwitte,neutral
@Rites_of_Hadda,glimpse witchpunk ritual world queerspirituk punk queerpunk queer pagan band livemusic,0,2023-08-30 09:17:00+00:00,#witchpunk,neutral
@Outlookindia,weekendreads dreams often denied nonbinary artists aspire glamorous stars silver screen photo sudhir damerla text anishareddyd50 women transgender lgbtqia queer pride read outlookindiacomnationalch,2,2023-08-30 08:30:00+00:00,#WeekendReads,positive
@CogitatioUP,lets talk urban planning 7 safe spaces punks radical take inclusion video podcast cogitatiopresscomwpltasa sbgarch uottawa punk scicomm sciencecommunication punk music festival socialinclusion queer,2,2023-08-30 08:27:00+00:00,#inclusion,positive
@CogitatioLTA,lets talk urban planning 7 safe spaces punks radical take inclusion video podcast cogitatiopresscomwpltasa sbgarch uottawa punk scicomm sciencecommunication punk music festival socialinclusion queer,1,2023-08-30 08:26:00+00:00,#inclusion,positive
@f_holmstead,homosexuality choice sexual addiction queertheory queer,0,2023-08-30 08:15:00+00:00,#QueerTheory,positive
@bhoernchen,30 august 2023 neuerscheinung antonia sandmann somehow else queer romance eur 599 di romaverlag 355 seiten queer schwuleliteratur schwulebcher gaybcher gaybuch gayromance lgbtbuch lgbtliteratur amznto3l1cg2k werbelink,0,2023-08-30 06:30:00+00:00,#Neuerscheinung,neutral
@thebetterindia,still strong pillar support needed ashish chopra today runs queer fashion marketplace called beunic along brother vishesh mother simmi nanda read buffly3pittf0,0,2023-08-30 05:30:00+00:00,#queer,positive
@HideSeekonJOY,phenomenal chat beca beans bar new venue queer women smith st fitzroy joyorgauhideandseek2023,0,2023-08-30 04:17:00+00:00,#queer,positive
@IndoGeoPolitics,queer climate justice activists claim lgbtq people suffering first catastrophic climate change climate effect lgbtq simple us weapon developing nations,0,2023-08-30 04:15:00+00:00,#Queer,positive
@Guardianangelos,speaker says parents rights children seems kingstoncouncil melbourne agrees council hides attendance names queer group 1217yr olds parents saying involvement kept confidential upon actual questioning council meeting 26 june 23 council officer said publicly asking question right parents know answered question deemed objectionable public record,0,2023-08-30 02:18:00+00:00,#KingstonCouncil,positive
